ID,state_name,pop
SP,São Paulo,44396484
RJ,Rio de Janeiro,16550024
CE,Ceará,8904459
AM,Amazonas,3938336
SC,Santa Catarina,6819190
MG,Minas Gerais,20869101
PE,Pernambuco,9345173
PR,Paraná,11163018
RS,Rio Grande do Sul,11247972
BA,Bahia,15203934
DF,Distrito Federal,2914830
ES,Espírito Santo,3929911
MA,Maranhão,6904241
RN,Rio Grande do Norte,3442175
PA,Pará,8175113
GO,Goiás,6610681
AP,Amapá,766679
MT,Mato Grosso,3265486
MS,Mato Grosso do Sul,2651235
PB,Paraíba,3972202
RR,Roraima,505665
AC,Acre,803513
AL,Alagoas,3340932
SE,Sergipe,2242937
PI,Piauí,3204028
RO,Rondônia,1768204
TO,Tocantins,1515126
